Timestamp: 2022-05-14_19_21_07
Path Dataset: /home/fischer/Desktop/Fischer/Unico/Unico_Challenge/Dog_Breed_classification/dogs/train_organized
Model: resnet50
Batch Size: 1
Optimizer: adam
Loss Function: CrossEntropy
Scheduler[type/step/decay]: linear/5/0.5
Learning Rate: 0.001
Epochs: 20
Epoch,Train_Loss,Val_Loss,Train_acc,Val_acc,lr
0,1.4882,0.7231,0.6285,0.7826,[0.001]
1,0.7209,0.6833,0.7798,0.7967,[0.001]
2,0.6345,0.7719,0.8039,0.7865,[0.001]
3,0.6034,0.7421,0.8141,0.7979,[0.001]
4,0.5495,0.7085,0.8308,0.8111,[0.0005]
5,0.3565,0.5916,0.8856,0.8301,[0.0005]
6,0.3545,0.6229,0.8842,0.8249,[0.0005]
7,0.3422,0.6976,0.887,0.8118,[0.0005]
8,0.3304,0.6566,0.8893,0.8167,[0.0005]
9,0.3136,0.6354,0.8945,0.8187,[0.00025]
10,0.2545,0.613,0.9161,0.8259,[0.00025]
11,0.2423,0.6078,0.9173,0.8302,[0.00025]
12,0.2371,0.6374,0.9204,0.828,[0.00025]
13,0.237,0.6044,0.9213,0.8328,[0.00025]
14,0.2355,0.6129,0.9202,0.8282,[0.000125]
15,0.2051,0.5728,0.933,0.837,[0.000125]
16,0.1978,0.5972,0.9356,0.8328,[0.000125]
17,0.2028,0.5865,0.9367,0.8369,[0.000125]
18,0.1991,0.577,0.9359,0.8368,[0.000125]
19,0.1987,0.5762,0.9367,0.8377,[6.25e-05]
