Timestamp: 2022-05-16_11_05_08
Path Dataset: ../dogs_dataset/train_organized_20
Model: resnet50
Batch Size: 1
Optimizer: adam
Loss Function: CrossEntropy
Scheduler[type/step/decay]: linear/5/0.5
Learning Rate: 0.001
Epochs: 20
Epoch,Train_Loss,Val_Loss,Train_acc,Val_acc,lr
0,1.1079,0.3036,0.7052,0.9141,[0.001]
1,0.3462,0.202,0.897,0.9395,[0.001]
2,0.3015,0.1689,0.9048,0.9492,[0.001]
3,0.2366,0.1299,0.9252,0.9609,[0.001]
4,0.2168,0.1993,0.9334,0.9414,[0.0005]
5,0.1606,0.1273,0.9439,0.9551,[0.0005]
6,0.1242,0.1408,0.9595,0.9492,[0.0005]
7,0.1542,0.1323,0.9409,0.9453,[0.0005]
8,0.1269,0.1208,0.9557,0.9414,[0.0005]
9,0.1288,0.1307,0.957,0.9551,[0.00025]
10,0.0975,0.1242,0.969,0.9531,[0.00025]
11,0.1089,0.1059,0.9665,0.957,[0.00025]
12,0.0868,0.1506,0.9672,0.9434,[0.00025]
13,0.0934,0.122,0.9672,0.957,[0.00025]
14,0.0847,0.1226,0.9752,0.959,[0.000125]
15,0.0722,0.1249,0.9764,0.9551,[0.000125]
16,0.0824,0.1092,0.9731,0.959,[0.000125]
17,0.0781,0.1239,0.9749,0.957,[0.000125]
18,0.0785,0.1236,0.9764,0.957,[0.000125]
19,0.0691,0.122,0.9775,0.9531,[6.25e-05]
