Timestamp: 2022-05-14_12_06_03
Path Dataset: /home/fischer/Desktop/Fischer/Unico/Unico_Challenge/Dog_Breed_classification/dogs/train_organized
Model: resnet50
Batch Size: 1
Optimizer: SGD
Loss Function: CrossEntropy
Scheduler[type/step/decay]: linear/5/0.5
Learning Rate: 0.01
Epochs: 20
Epoch,Train_Loss,Val_Loss,Train_acc,Val_acc,lr
0,1.9026,0.814,0.4992,0.7427,[0.01]
1,1.0942,0.8078,0.6753,0.7444,[0.01]
2,0.9867,0.754,0.7072,0.7677,[0.01]
3,0.9387,0.7179,0.7208,0.7776,[0.01]
4,0.8839,0.8132,0.7359,0.7756,[0.005]
5,0.663,0.6327,0.7911,0.8165,[0.005]
6,0.6281,0.6046,0.8042,0.8258,[0.005]
7,0.5692,0.6134,0.8185,0.819,[0.005]
8,0.5562,0.6228,0.8217,0.8189,[0.005]
9,0.5361,0.6272,0.8253,0.8149,[0.0025]
10,0.4471,0.5706,0.8541,0.8398,[0.0025]
11,0.434,0.5724,0.8592,0.8337,[0.0025]
12,0.417,0.58,0.8617,0.8312,[0.0025]
13,0.4045,0.6013,0.866,0.8372,[0.0025]
14,0.3969,0.5685,0.8698,0.838,[0.00125]
15,0.3537,0.5623,0.8852,0.8359,[0.00125]
16,0.3471,0.5461,0.8837,0.8391,[0.00125]
17,0.3374,0.5556,0.8876,0.8401,[0.00125]
18,0.3403,0.5605,0.8879,0.8372,[0.00125]
19,0.3381,0.5648,0.885,0.8404,[0.000625]
